gene_symbol	original_cell_type	method	cell_type
TNFRSF11A	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
TNFRSF4	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
TRAV21	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
TRAV8-6	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
TRAV9-2	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
TRBC1	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
TYR	T cells regulatory (Tregs)	cibersort	T cell regulatory (Tregs)
BRSK2	T cells gamma delta	cibersort	T cell gamma delta
CCL5	T cells gamma delta	cibersort	T cell gamma delta
CCR5	T cells gamma delta	cibersort	T cell gamma delta
CD160	T cells gamma delta	cibersort	T cell gamma delta
CD96	T cells gamma delta	cibersort	T cell gamma delta
CDH12	T cells gamma delta	cibersort	T cell gamma delta
CLCA3P	T cells gamma delta	cibersort	T cell gamma delta
COLQ	T cells gamma delta	cibersort	T cell gamma delta
CST7	T cells gamma delta	cibersort	T cell gamma delta
CXorf57	T cells gamma delta	cibersort	T cell gamma delta
DUSP2	T cells gamma delta	cibersort	T cell gamma delta
GZMK	T cells gamma delta	cibersort	T cell gamma delta
KLRG1	T cells gamma delta	cibersort	T cell gamma delta
MAGEA11	T cells gamma delta	cibersort	T cell gamma delta
TARDBPP1	T cells gamma delta	cibersort	T cell gamma delta
TRDC	T cells gamma delta	cibersort	T cell gamma delta
ZNF442	T cells gamma delta	cibersort	T cell gamma delta
CAMP	NK cells resting	cibersort	NK cell resting
CD247	NK cells resting	cibersort	NK cell resting
CD300A	NK cells resting	cibersort	NK cell resting
CDHR1	NK cells resting	cibersort	NK cell resting
DEFA4	NK cells resting	cibersort	NK cell resting
GZMH	NK cells resting	cibersort	NK cell resting
GZMM	NK cells resting	cibersort	NK cell resting
IL18RAP	NK cells resting	cibersort	NK cell resting
KLRB1	NK cells resting	cibersort	NK cell resting
KLRC3	NK cells resting	cibersort	NK cell resting
KLRD1	NK cells resting	cibersort	NK cell resting
KLRF1	NK cells resting	cibersort	NK cell resting
KLRK1	NK cells resting	cibersort	NK cell resting
NAALADL1	NK cells resting	cibersort	NK cell resting
PLEKHF1	NK cells resting	cibersort	NK cell resting
PVRIG	NK cells resting	cibersort	NK cell resting
S1PR5	NK cells resting	cibersort	NK cell resting
TBX21	NK cells resting	cibersort	NK cell resting
TEP1	NK cells resting	cibersort	NK cell resting
TTC38	NK cells resting	cibersort	NK cell resting
ZBP1	NK cells resting	cibersort	NK cell resting
ZNF135	NK cells resting	cibersort	NK cell resting
APOBEC3G	NK cells activated	cibersort	NK cell activated
CCL4	NK cells activated	cibersort	NK cell activated
CCND2	NK cells activated	cibersort	NK cell activated
CDK6	NK cells activated	cibersort	NK cell activated
CTSW	NK cells activated	cibersort	NK cell activated
FASLG	NK cells activated	cibersort	NK cell activated
GNLY	NK cells activated	cibersort	NK cell activated
GZMA	NK cells activated	cibersort	NK cell activated
GZMB	NK cells activated	cibersort	NK cell activated
IL12RB2	NK cells activated	cibersort	NK cell activated
IL2RB	NK cells activated	cibersort	NK cell activated
KIR2DL1	NK cells activated	cibersort	NK cell activated
KIR2DL4	NK cells activated	cibersort	NK cell activated
KIR2DS4	NK cells activated	cibersort	NK cell activated
KIR3DL2	NK cells activated	cibersort	NK cell activated
LTA	NK cells activated	cibersort	NK cell activated
NCR3	NK cells activated	cibersort	NK cell activated
NKG7	NK cells activated	cibersort	NK cell activated
PRF1	NK cells activated	cibersort	NK cell activated
PRR5L	NK cells activated	cibersort	NK cell activated
PTGDR	NK cells activated	cibersort	NK cell activated
PTGER2	NK cells activated	cibersort	NK cell activated
TNFSF14	NK cells activated	cibersort	NK cell activated
TXK	NK cells activated	cibersort	NK cell activated
ASGR1	Monocytes	cibersort	Monocyte
ASGR2	Monocytes	cibersort	Monocyte
CCR2	Monocytes	cibersort	Monocyte
CD1D	Monocytes	cibersort	Monocyte
CD33	Monocytes	cibersort	Monocyte
CFP	Monocytes	cibersort	Monocyte
CLEC7A	Monocytes	cibersort	Monocyte
FCN1	Monocytes	cibersort	Monocyte
HPSE	Monocytes	cibersort	Monocyte
NLRP3	Monocytes	cibersort	Monocyte
S100A12	Monocytes	cibersort	Monocyte
UPK3A	Monocytes	cibersort	Monocyte
VNN1	Monocytes	cibersort	Monocyte
BHLHE41	Macrophages M0	cibersort	Macrophage M0
CCDC102B	Macrophages M0	cibersort	Macrophage M0
CHI3L1	Macrophages M0	cibersort	Macrophage M0
COL8A2	Macrophages M0	cibersort	Macrophage M0
CSF1	Macrophages M0	cibersort	Macrophage M0
CXCL5	Macrophages M0	cibersort	Macrophage M0
CYP27A1	Macrophages M0	cibersort	Macrophage M0
DCSTAMP	Macrophages M0	cibersort	Macrophage M0
GPC4	Macrophages M0	cibersort	Macrophage M0
HK3	Macrophages M0	cibersort	Macrophage M0
IGSF6	Macrophages M0	cibersort	Macrophage M0
MARCO	Macrophages M0	cibersort	Macrophage M0
MMP9	Macrophages M0	cibersort	Macrophage M0
PLA2G7	Macrophages M0	cibersort	Macrophage M0
PPBP	Macrophages M0	cibersort	Macrophage M0
ACHE	Macrophages M1	cibersort	Macrophage M1
ADAMDEC1	Macrophages M1	cibersort	Macrophage M1
APOL3	Macrophages M1	cibersort	Macrophage M1
APOL6	Macrophages M1	cibersort	Macrophage M1
ARRB1	Macrophages M1	cibersort	Macrophage M1
CASP5	Macrophages M1	cibersort	Macrophage M1
CCL19	Macrophages M1	cibersort	Macrophage M1
CCL8	Macrophages M1	cibersort	Macrophage M1
CCR7	Macrophages M1	cibersort	Macrophage M1
CD40	Macrophages M1	cibersort	Macrophage M1
CXCL10	Macrophages M1	cibersort	Macrophage M1
CXCL11	Macrophages M1	cibersort	Macrophage M1
CXCL9	Macrophages M1	cibersort	Macrophage M1
CYP27B1	Macrophages M1	cibersort	Macrophage M1
EBI3	Macrophages M1	cibersort	Macrophage M1
HCK	Macrophages M1	cibersort	Macrophage M1
HESX1	Macrophages M1	cibersort	Macrophage M1
IDO1	Macrophages M1	cibersort	Macrophage M1
IFI44L	Macrophages M1	cibersort	Macrophage M1
IRF8	Macrophages M1	cibersort	Macrophage M1
KIAA0754	Macrophages M1	cibersort	Macrophage M1
LAG3	Macrophages M1	cibersort	Macrophage M1
LILRA3	Macrophages M1	cibersort	Macrophage M1
LILRB2	Macrophages M1	cibersort	Macrophage M1
NOD2	Macrophages M1	cibersort	Macrophage M1
PLA1A	Macrophages M1	cibersort	Macrophage M1
PTGIR	Macrophages M1	cibersort	Macrophage M1
RASSF4	Macrophages M1	cibersort	Macrophage M1
SIGLEC1	Macrophages M1	cibersort	Macrophage M1
SLAMF1	Macrophages M1	cibersort	Macrophage M1
SLC2A6	Macrophages M1	cibersort	Macrophage M1
SOCS1	Macrophages M1	cibersort	Macrophage M1
TLR7	Macrophages M1	cibersort	Macrophage M1
TLR8	Macrophages M1	cibersort	Macrophage M1
TNFAIP6	Macrophages M1	cibersort	Macrophage M1
TNIP3	Macrophages M1	cibersort	Macrophage M1
TRPM4	Macrophages M1	cibersort	Macrophage M1
ZBTB32	Macrophages M1	cibersort	Macrophage M1
AIF1	Macrophages M2	cibersort	Macrophage M2
CCL13	Macrophages M2	cibersort	Macrophage M2
CCL14	Macrophages M2	cibersort	Macrophage M2
CCL18	Macrophages M2	cibersort	Macrophage M2
CCL23	Macrophages M2	cibersort	Macrophage M2
CD180	Macrophages M2	cibersort	Macrophage M2
CD209	Macrophages M2	cibersort	Macrophage M2
CD4	Macrophages M2	cibersort	Macrophage M2
CD68	Macrophages M2	cibersort	Macrophage M2
CLEC10A	Macrophages M2	cibersort	Macrophage M2
CLEC4A	Macrophages M2	cibersort	Macrophage M2
CRYBB1	Macrophages M2	cibersort	Macrophage M2
FES	Macrophages M2	cibersort	Macrophage M2
FRMD4A	Macrophages M2	cibersort	Macrophage M2
GGT5	Macrophages M2	cibersort	Macrophage M2
HNMT	Macrophages M2	cibersort	Macrophage M2
HRH1	Macrophages M2	cibersort	Macrophage M2
MS4A6A	Macrophages M2	cibersort	Macrophage M2
NME8	Macrophages M2	cibersort	Macrophage M2
NPL	Macrophages M2	cibersort	Macrophage M2
RENBP	Macrophages M2	cibersort	Macrophage M2
SLC15A3	Macrophages M2	cibersort	Macrophage M2
WNT5B	Macrophages M2	cibersort	Macrophage M2
ACP5	Dendritic cells resting	cibersort	Dendritic cell resting
ALOX15	Dendritic cells resting	cibersort	Dendritic cell resting
C1orf54	Dendritic cells resting	cibersort	Dendritic cell resting
CD1A	Dendritic cells resting	cibersort	Dendritic cell resting
CD1B	Dendritic cells resting	cibersort	Dendritic cell resting
CD1C	Dendritic cells resting	cibersort	Dendritic cell resting
CD1E	Dendritic cells resting	cibersort	Dendritic cell resting
DHRS11	Dendritic cells resting	cibersort	Dendritic cell resting
EGR2	Dendritic cells resting	cibersort	Dendritic cell resting
FAM198B	Dendritic cells resting	cibersort	Dendritic cell resting
FCER2	Dendritic cells resting	cibersort	Dendritic cell resting
FLVCR2	Dendritic cells resting	cibersort	Dendritic cell resting
FPR3	Dendritic cells resting	cibersort	Dendritic cell resting
FZD2	Dendritic cells resting	cibersort	Dendritic cell resting
GSTT1	Dendritic cells resting	cibersort	Dendritic cell resting
HLA-DQA1	Dendritic cells resting	cibersort	Dendritic cell resting
MMP12	Dendritic cells resting	cibersort	Dendritic cell resting
PPFIBP1	Dendritic cells resting	cibersort	Dendritic cell resting
RNASE6	Dendritic cells resting	cibersort	Dendritic cell resting
SCN9A	Dendritic cells resting	cibersort	Dendritic cell resting
SLAMF8	Dendritic cells resting	cibersort	Dendritic cell resting
TREM2	Dendritic cells resting	cibersort	Dendritic cell resting
ARHGAP22	Dendritic cells activated	cibersort	Dendritic cell activated
BIRC3	Dendritic cells activated	cibersort	Dendritic cell activated
CCL17	Dendritic cells activated	cibersort	Dendritic cell activated
CCL22	Dendritic cells activated	cibersort	Dendritic cell activated
CD80	Dendritic cells activated	cibersort	Dendritic cell activated
CD86	Dendritic cells activated	cibersort	Dendritic cell activated
CHST7	Dendritic cells activated	cibersort	Dendritic cell activated
CLIC2	Dendritic cells activated	cibersort	Dendritic cell activated
DHX58	Dendritic cells activated	cibersort	Dendritic cell activated
ETV3	Dendritic cells activated	cibersort	Dendritic cell activated
HTR2B	Dendritic cells activated	cibersort	Dendritic cell activated
IL12B	Dendritic cells activated	cibersort	Dendritic cell activated
KYNU	Dendritic cells activated	cibersort	Dendritic cell activated
LAMP3	Dendritic cells activated	cibersort	Dendritic cell activated
MAP3K13	Dendritic cells activated	cibersort	Dendritic cell activated
MSC	Dendritic cells activated	cibersort	Dendritic cell activated
PDCD1LG2	Dendritic cells activated	cibersort	Dendritic cell activated
RSAD2	Dendritic cells activated	cibersort	Dendritic cell activated
SLCO5A1	Dendritic cells activated	cibersort	Dendritic cell activated
TMEM255A	Dendritic cells activated	cibersort	Dendritic cell activated
ADAMTS3	Mast cells resting	cibersort	Mast cell activated
ADRB2	Mast cells resting	cibersort	Mast cell activated
BMP2K	Mast cells resting	cibersort	Mast cell activated
BPI	Mast cells resting	cibersort	Mast cell activated
CEACAM8	Mast cells resting	cibersort	Mast cell activated
CPA3	Mast cells resting	cibersort	Mast cell activated
CTSG	Mast cells resting	cibersort	Mast cell activated
ELANE	Mast cells resting	cibersort	Mast cell activated
FAM124B	Mast cells resting	cibersort	Mast cell activated
FAM174B	Mast cells resting	cibersort	Mast cell activated
FCER1A	Mast cells resting	cibersort	Mast cell activated
GFI1	Mast cells resting	cibersort	Mast cell activated
HOXA1	Mast cells resting	cibersort	Mast cell activated
HPGDS	Mast cells resting	cibersort	Mast cell activated
LTC4S	Mast cells resting	cibersort	Mast cell activated
MS4A2	Mast cells resting	cibersort	Mast cell activated
MS4A3	Mast cells resting	cibersort	Mast cell activated
P2RX1	Mast cells resting	cibersort	Mast cell activated
PAQR5	Mast cells resting	cibersort	Mast cell activated
RAB27B	Mast cells resting	cibersort	Mast cell activated
SEPT8	Mast cells resting	cibersort	Mast cell activated
STXBP6	Mast cells resting	cibersort	Mast cell activated
ATP8B4	Mast cells activated	cibersort	Mast cell resting
AZU1	Mast cells activated	cibersort	Mast cell resting
CCL1	Mast cells activated	cibersort	Mast cell resting
CCL20	Mast cells activated	cibersort	Mast cell resting
CCL7	Mast cells activated	cibersort	Mast cell resting
CMA1	Mast cells activated	cibersort	Mast cell resting
CSF2	Mast cells activated	cibersort	Mast cell resting
CXCL3	Mast cells activated	cibersort	Mast cell resting
HDC	Mast cells activated	cibersort	Mast cell resting
IL18R1	Mast cells activated	cibersort	Mast cell resting
IL1A	Mast cells activated	cibersort	Mast cell resting
IL1B	Mast cells activated	cibersort	Mast cell resting
IL1RL1	Mast cells activated	cibersort	Mast cell resting
IL5	Mast cells activated	cibersort	Mast cell resting
LINC00597	Mast cells activated	cibersort	Mast cell resting
MARCH3	Mast cells activated	cibersort	Mast cell resting
MYB	Mast cells activated	cibersort	Mast cell resting
NOX3	Mast cells activated	cibersort	Mast cell resting
NTRK1	Mast cells activated	cibersort	Mast cell resting
PRG2	Mast cells activated	cibersort	Mast cell resting
RGS13	Mast cells activated	cibersort	Mast cell resting
SLC12A8	Mast cells activated	cibersort	Mast cell resting
TEC	Mast cells activated	cibersort	Mast cell resting
TPSAB1	Mast cells activated	cibersort	Mast cell resting
BCL2A1	Eosinophils	cibersort	Eosinophil
C3AR1	Eosinophils	cibersort	Eosinophil
CCR3	Eosinophils	cibersort	Eosinophil
CD244	Eosinophils	cibersort	Eosinophil
CLC	Eosinophils	cibersort	Eosinophil
DACH1	Eosinophils	cibersort	Eosinophil
DAPK2	Eosinophils	cibersort	Eosinophil
DEPDC5	Eosinophils	cibersort	Eosinophil
EMR1	Eosinophils	cibersort	Eosinophil
EMR3	Eosinophils	cibersort	Eosinophil
EPN2	Eosinophils	cibersort	Eosinophil
FOSB	Eosinophils	cibersort	Eosinophil
GIPR	Eosinophils	cibersort	Eosinophil
GPR183	Eosinophils	cibersort	Eosinophil
GPR65	Eosinophils	cibersort	Eosinophil
GPR97	Eosinophils	cibersort	Eosinophil
IL5RA	Eosinophils	cibersort	Eosinophil
KRT18P50	Eosinophils	cibersort	Eosinophil
LRMP	Eosinophils	cibersort	Eosinophil
NCF2	Eosinophils	cibersort	Eosinophil
NR4A3	Eosinophils	cibersort	Eosinophil
OSM	Eosinophils	cibersort	Eosinophil
P2RY10	Eosinophils	cibersort	Eosinophil
P2RY14	Eosinophils	cibersort	Eosinophil
P2RY2	Eosinophils	cibersort	Eosinophil
PDE6C	Eosinophils	cibersort	Eosinophil
PKD2L2	Eosinophils	cibersort	Eosinophil
RGS1	Eosinophils	cibersort	Eosinophil
RNASE2	Eosinophils	cibersort	Eosinophil
RRP12	Eosinophils	cibersort	Eosinophil
SAMSN1	Eosinophils	cibersort	Eosinophil
SMPD3	Eosinophils	cibersort	Eosinophil
SMPDL3B	Eosinophils	cibersort	Eosinophil
ST3GAL6	Eosinophils	cibersort	Eosinophil
TRPM6	Eosinophils	cibersort	Eosinophil
ZNF165	Eosinophils	cibersort	Eosinophil
ZNF222	Eosinophils	cibersort	Eosinophil
ALOX5	Neutrophils	cibersort	Neutrophil
APOBEC3A	Neutrophils	cibersort	Neutrophil
AQP9	Neutrophils	cibersort	Neutrophil
BST1	Neutrophils	cibersort	Neutrophil
BTNL8	Neutrophils	cibersort	Neutrophil
C5AR1	Neutrophils	cibersort	Neutrophil
C5AR2	Neutrophils	cibersort	Neutrophil
CDA	Neutrophils	cibersort	Neutrophil
CEACAM3	Neutrophils	cibersort	Neutrophil
CHST15	Neutrophils	cibersort	Neutrophil
CREB5	Neutrophils	cibersort	Neutrophil
CSF3R	Neutrophils	cibersort	Neutrophil
CXCR1	Neutrophils	cibersort	Neutrophil
CXCR2	Neutrophils	cibersort	Neutrophil
DPEP2	Neutrophils	cibersort	Neutrophil
EMR2	Neutrophils	cibersort	Neutrophil
FAM212B	Neutrophils	cibersort	Neutrophil
FAM65B	Neutrophils	cibersort	Neutrophil
FCGR3B	Neutrophils	cibersort	Neutrophil
FFAR2	Neutrophils	cibersort	Neutrophil
FPR1	Neutrophils	cibersort	Neutrophil
FPR2	Neutrophils	cibersort	Neutrophil
HAL	Neutrophils	cibersort	Neutrophil
HSPA6	Neutrophils	cibersort	Neutrophil
LILRA2	Neutrophils	cibersort	Neutrophil
LST1	Neutrophils	cibersort	Neutrophil
MAK	Neutrophils	cibersort	Neutrophil
MEFV	Neutrophils	cibersort	Neutrophil
MGAM	Neutrophils	cibersort	Neutrophil
MMP25	Neutrophils	cibersort	Neutrophil
MNDA	Neutrophils	cibersort	Neutrophil
MXD1	Neutrophils	cibersort	Neutrophil
NFE2	Neutrophils	cibersort	Neutrophil
P2RY13	Neutrophils	cibersort	Neutrophil
PADI4	Neutrophils	cibersort	Neutrophil
PGLYRP1	Neutrophils	cibersort	Neutrophil
PLEKHG3	Neutrophils	cibersort	Neutrophil
QPCT	Neutrophils	cibersort	Neutrophil
REPS2	Neutrophils	cibersort	Neutrophil
SELL	Neutrophils	cibersort	Neutrophil
STEAP4	Neutrophils	cibersort	Neutrophil
TLR2	Neutrophils	cibersort	Neutrophil
TNFRSF10C	Neutrophils	cibersort	Neutrophil
TREM1	Neutrophils	cibersort	Neutrophil
TREML2	Neutrophils	cibersort	Neutrophil
VNN2	Neutrophils	cibersort	Neutrophil
VNN3	Neutrophils	cibersort	Neutrophil
C1QA	aDC	xcell	NA
C1QB	aDC	xcell	NA
CD80	aDC	xcell	NA
IL12B	aDC	xcell	NA
CCL13	aDC	xcell	NA
CCL17	aDC	xcell	NA
CCL19	aDC	xcell	NA
CCL22	aDC	xcell	NA
FPR3	aDC	xcell	NA
HLA-DQA1	aDC	xcell	NA
IL3RA	aDC	xcell	NA
CXCL9	aDC	xcell	NA
PTGIR	aDC	xcell	NA
CCL8	aDC	xcell	NA
CCL23	aDC	xcell	NA
SLAMF1	aDC	xcell	NA
SIGLEC1	aDC	xcell	NA
TRAF1	aDC	xcell	NA
TNFRSF4	aDC	xcell	NA
TXN	aDC	xcell	NA
SOCS3	aDC	xcell	NA
HS3ST3B1	aDC	xcell	NA
CD209	aDC	xcell	NA
LILRA5	aDC	xcell	NA
ACHE	aDC	xcell	NA
ADPRH	aDC	xcell	NA
ALOX15B	aDC	xcell	NA
ANXA5	aDC	xcell	NA
XIAP	aDC	xcell	NA
ARF3	aDC	xcell	NA
RHOG	aDC	xcell	NA
ATP1B3	aDC	xcell	NA
BLVRA	aDC	xcell	NA
C3AR1	aDC	xcell	NA
CASP5	aDC	xcell	NA
CD86	aDC	xcell	NA
CCR5	aDC	xcell	NA
CMKLR1	aDC	xcell	NA
EIF5	aDC	xcell	NA
ENO1	aDC	xcell	NA
ETV3	aDC	xcell	NA
FCER1G	aDC	xcell	NA
FCER2	aDC	xcell	NA
GMFB	aDC	xcell	NA
GNG5	aDC	xcell	NA
GRB2	aDC	xcell	NA
RAPGEF1	aDC	xcell	NA
HCK	aDC	xcell	NA
HRH2	aDC	xcell	NA
DNAJA1	aDC	xcell	NA
IL2RA	aDC	xcell	NA
IL9	aDC	xcell	NA
IL10	aDC	xcell	NA
IL10RA	aDC	xcell	NA
IMPDH1	aDC	xcell	NA
IRF4	aDC	xcell	NA
KCNMB1	aDC	xcell	NA
LAIR1	aDC	xcell	NA
LOR	aDC	xcell	NA
RAB8A	aDC	xcell	NA
MTF1	aDC	xcell	NA
NFE2L2	aDC	xcell	NA
NFKB1	aDC	xcell	NA
NFKBIB	aDC	xcell	NA
NRAS	aDC	xcell	NA
OSM	aDC	xcell	NA
P2RX7	aDC	xcell	NA
PAK2	aDC	xcell	NA
PGK1	aDC	xcell	NA
PITPNA	aDC	xcell	NA
MAP2K1	aDC	xcell	NA
RAB5A	aDC	xcell	NA
RELA	aDC	xcell	NA
CLIP1	aDC	xcell	NA
S100A10	aDC	xcell	NA
CCL1	aDC	xcell	NA
CCL4	aDC	xcell	NA
CCL7	aDC	xcell	NA
CCL18	aDC	xcell	NA
CCL24	aDC	xcell	NA
SLC1A2	aDC	xcell	NA
SLC6A12	aDC	xcell	NA
SRC	aDC	xcell	NA
STAT2	aDC	xcell	NA
TCF21	aDC	xcell	NA
DYNLT1	aDC	xcell	NA
TPI1	aDC	xcell	NA
VRK2	aDC	xcell	NA
XPNPEP1	aDC	xcell	NA
ZBTB17	aDC	xcell	NA
CUL1	aDC	xcell	NA
RRP1	aDC	xcell	NA
SCARF1	aDC	xcell	NA
ALDH1A2	aDC	xcell	NA
TAX1BP1	aDC	xcell	NA
SPAG9	aDC	xcell	NA
TMSB10	aDC	xcell	NA
MAP3K13	aDC	xcell	NA
TRIP4	aDC	xcell	NA
H6PD	aDC	xcell	NA
WTAP	aDC	xcell	NA
ARHGEF11	aDC	xcell	NA
TMCC2	aDC	xcell	NA
ABI1	aDC	xcell	NA
BCL2L11	aDC	xcell	NA
ARPC4	aDC	xcell	NA
ARFRP1	aDC	xcell	NA
RAMP3	aDC	xcell	NA
LILRB2	aDC	xcell	NA
BCKDK	aDC	xcell	NA
CXCL13	aDC	xcell	NA
EXOC5	aDC	xcell	NA
MTHFD2	aDC	xcell	NA
SEC24A	aDC	xcell	NA
NEU3	aDC	xcell	NA
LILRB1	aDC	xcell	NA
CD300C	aDC	xcell	NA
LILRB5	aDC	xcell	NA
RAB35	aDC	xcell	NA
OGFR	aDC	xcell	NA
HPS5	aDC	xcell	NA
TREX1	aDC	xcell	NA
TFEC	aDC	xcell	NA
RAB21	aDC	xcell	NA
KDM6B	aDC	xcell	NA
FAM175B	aDC	xcell	NA
MGRN1	aDC	xcell	NA
TDRD7	aDC	xcell	NA
ABCA6	aDC	xcell	NA
DNPEP	aDC	xcell	NA
ACOT9	aDC	xcell	NA
NUP62	aDC	xcell	NA
BCL2L13	aDC	xcell	NA
FBXL4	aDC	xcell	NA
SIGLEC7	aDC	xcell	NA
CYTH4	aDC	xcell	NA
SIGLEC9	aDC	xcell	NA
TOR1B	aDC	xcell	NA
GPR132	aDC	xcell	NA
IL19	aDC	xcell	NA
ANKFY1	aDC	xcell	NA
AZIN1	aDC	xcell	NA
RIN2	aDC	xcell	NA
TBC1D13	aDC	xcell	NA
GPN2	aDC	xcell	NA
C1orf27	aDC	xcell	NA
ARL8B	aDC	xcell	NA
ZNF654	aDC	xcell	NA
TBC1D22B	aDC	xcell	NA
MFN1	aDC	xcell	NA
SCYL2	aDC	xcell	NA
CHFR	aDC	xcell	NA
KCNK13	aDC	xcell	NA
C5orf15	aDC	xcell	NA
RPGRIP1	aDC	xcell	NA
CAMK1G	aDC	xcell	NA
DENND1A	aDC	xcell	NA
GPR107	aDC	xcell	NA
HAMP	aDC	xcell	NA
MIIP	aDC	xcell	NA
NSUN3	aDC	xcell	NA
MMP25	aDC	xcell	NA
UBE2Z	aDC	xcell	NA
TNIP2	aDC	xcell	NA
OPA3	aDC	xcell	NA
TMX1	aDC	xcell	NA
SLCO5A1	aDC	xcell	NA
NETO2	aDC	xcell	NA
MED25	aDC	xcell	NA
SLC25A28	aDC	xcell	NA
ADPGK	aDC	xcell	NA
MAGT1	aDC	xcell	NA
DOT1L	aDC	xcell	NA
TMEM41B	aDC	xcell	NA
ELL	aDC	xcell	NA
N4BP1	aDC	xcell	NA
ABTB2	aDC	xcell	NA
TRPC4AP	aDC	xcell	NA
SNX11	aDC	xcell	NA
CHMP5	aDC	xcell	NA
NECAP2	aDC	xcell	NA
ADH1B	Adipocytes	xcell	NA
DLAT	Adipocytes	xcell	NA
GPD1	Adipocytes	xcell	NA
LBP	Adipocytes	xcell	NA
PLIN1	Adipocytes	xcell	NA
PPP1R1A	Adipocytes	xcell	NA
PPP2R1B	Adipocytes	xcell	NA
PTGER3	Adipocytes	xcell	NA
CILP	Adipocytes	xcell	NA
ADIPOQ	Adipocytes	xcell	NA
COL5A3	Adipocytes	xcell	NA
PNPLA2	Adipocytes	xcell	NA
ATP5G3	Adipocytes	xcell	NA
HADHA	Adipocytes	xcell	NA
DBI	Adipocytes	xcell	NA
ATP1A2	Adipocytes	xcell	NA
HP	Adipocytes	xcell	NA
TF	Adipocytes	xcell	NA
C6	Adipocytes	xcell	NA
SLC25A6	Adipocytes	xcell	NA
ECHDC1	Adipocytes	xcell	NA
CNN1	Astrocytes	xcell	NA
COL11A1	Astrocytes	xcell	NA
DNA2	Astrocytes	xcell	NA
FABP7	Astrocytes	xcell	NA
GPC4	Astrocytes	xcell	NA
CENPI	Astrocytes	xcell	NA
FZD2	Astrocytes	xcell	NA
GLI2	Astrocytes	xcell	NA
GNG3	Astrocytes	xcell	NA
GPX7	Astrocytes	xcell	NA
TNC	Astrocytes	xcell	NA
LOXL1	Astrocytes	xcell	NA
LRP4	Astrocytes	xcell	NA
NNAT	Astrocytes	xcell	NA
POU3F3	Astrocytes	xcell	NA
PTN	Astrocytes	xcell	NA
PTX3	Astrocytes	xcell	NA
RBP1	Astrocytes	xcell	NA
SDC2	Astrocytes	xcell	NA
TFAP2C	Astrocytes	xcell	NA
TRO	Astrocytes	xcell	NA
XRCC2	Astrocytes	xcell	NA
ADAM12	Astrocytes	xcell	NA
DPF3	Astrocytes	xcell	NA
ST8SIA2	Astrocytes	xcell	NA
ZNF239	Astrocytes	xcell	NA
DCHS1	Astrocytes	xcell	NA
